user_id,age_group,city_tier,subscription_date,subscription_plan,last_active_date,plan_change_date,new_subscription_plan
UIDJS0000751588f,18-24,Tier 1,2024-06-10,Premium,\N,\N,\N
UIDJS000093eeb86,18-24,Tier 1,2024-11-09,Free,\N,\N,\N
UIDJS00010d7fa1e,25-34,Tier 1,2024-08-08,Free,\N,\N,\N
UIDJS00013411a85,35-44,Tier 2,2024-05-31,VIP,\N,\N,\N
UIDJS0003a3f54cf,35-44,Tier 1,2024-09-20,Premium,\N,\N,\N
UIDJS0003c1e814d,45+,Tier 1,2024-09-29,Free,\N,\N,\N
UIDJS0005148a254,18-24,Tier 1,2024-11-10,Premium,\N,\N,\N
UIDJS00053f36fed,25-34,Tier 1,2024-03-07,Premium,\N,\N,\N
UIDJS00054eb2210,25-34,Tier 3,2024-04-12,Premium,\N,\N,\N
UIDJS0005f952957,25-34,Tier 3,2024-09-29,VIP,2024-12-02,\N,\N
UIDJS00066780176,35-44,Tier 2,2024-08-14,Free,2024-10-05,\N,\N
UIDJS00095c87d92,35-44,Tier 1,2024-06-06,Premium,2024-07-22,\N,\N
UIDJS000cd6a7fe8,25-34,Tier 1,2024-09-18,Premium,\N,2024-12-18,VIP
UIDJS000e99e1896,25-34,Tier 1,2024-05-14,Free,\N,\N,\N
UIDJS0010511043c,45+,Tier 1,2024-10-13,VIP,\N,\N,\N
UIDJS00128a22453,25-34,Tier 1,2024-11-19,VIP,\N,\N,\N
UIDJS001420c2f0f,25-34,Tier 2,2024-04-25,VIP,2024-11-13,\N,\N
UIDJS0014d1ad763,18-24,Tier 1,2024-08-10,Free,\N,\N,\N
UIDJS0018cdf086d,25-34,Tier 2,2024-03-18,VIP,\N,\N,\N
UIDJS0019b04b32f,18-24,Tier 1,2024-02-11,VIP,\N,2024-08-11,Free
UIDJS001aa8810f4,25-34,Tier 1,2024-06-23,Premium,\N,\N,\N
UIDJS001b7c6be2d,18-24,Tier 1,2024-11-03,Premium,\N,\N,\N
UIDJS001cbec7b1d,18-24,Tier 1,2024-08-29,VIP,\N,\N,\N
UIDJS001defd7e03,25-34,Tier 1,2024-01-18,VIP,\N,2024-08-18,Free
UIDJS001e6dc7e2f,25-34,Tier 1,2024-02-04,VIP,\N,\N,\N
UIDJS00242dbc61e,35-44,Tier 2,2024-06-27,Free,2024-08-11,\N,\N
UIDJS00248560e10,25-34,Tier 1,2024-02-15,Premium,2024-04-30,\N,\N
UIDJS00252193546,25-34,Tier 1,2024-02-01,Premium,\N,\N,\N
UIDJS0025897ad93,25-34,Tier 1,2024-01-17,Premium,2024-04-12,\N,\N
UIDJS0025e8e93b2,35-44,Tier 3,2024-06-08,Free,\N,\N,\N
UIDJS00297537d46,25-34,Tier 2,2024-07-25,Premium,\N,\N,\N
UIDJS002b38945e6,25-34,Tier 1,2024-04-30,Free,\N,\N,\N
UIDJS002baf6c79c,25-34,Tier 2,2024-04-21,VIP,2024-06-14,\N,\N
UIDJS002d56c1d84,18-24,Tier 1,2024-06-26,Premium,\N,\N,\N
UIDJS002d59d668d,25-34,Tier 3,2024-06-24,VIP,\N,\N,\N
UIDJS002d8a58c00,25-34,Tier 2,2024-11-13,Premium,\N,\N,\N
UIDJS0030d2ca727,35-44,Tier 1,2024-06-15,Free,\N,\N,\N
UIDJS003113ce2ed,35-44,Tier 2,2024-09-13,Premium,\N,\N,\N
UIDJS0033e4455c2,35-44,Tier 1,2024-03-27,Premium,\N,\N,\N
UIDJS003406cc9c7,45+,Tier 1,2024-03-07,VIP,\N,\N,\N
UIDJS003471b56f7,35-44,Tier 2,2024-03-26,VIP,2024-04-29,\N,\N
UIDJS00362b6934f,25-34,Tier 1,2024-02-12,VIP,\N,\N,\N
UIDJS00363233d30,25-34,Tier 2,2024-11-10,VIP,\N,\N,\N
UIDJS0037184af24,25-34,Tier 1,2024-05-27,VIP,\N,\N,\N
UIDJS0037cb06cd4,18-24,Tier 2,2024-02-28,Free,\N,\N,\N
UIDJS003b1496e3a,35-44,Tier 1,2024-06-25,VIP,\N,\N,\N
UIDJS003b75e0d7b,25-34,Tier 1,2024-07-07,Free,\N,\N,\N
UIDJS003cb5a2cd7,35-44,Tier 1,2024-06-05,VIP,\N,2024-10-05,Free
UIDJS003cc71ec21,18-24,Tier 1,2024-05-18,VIP,2024-06-29,\N,\N
UIDJS003d5858107,35-44,Tier 1,2024-10-09,Premium,\N,\N,\N
UIDJS003f249ed91,45+,Tier 1,2024-08-19,Premium,\N,\N,\N
UIDJS0043565a103,35-44,Tier 1,2024-08-13,Free,\N,\N,\N
UIDJS00439d9c88d,35-44,Tier 1,2024-04-16,VIP,\N,\N,\N
UIDJS0044084587c,35-44,Tier 2,2024-04-20,Free,2024-08-21,\N,\N
UIDJS004528b5ccc,35-44,Tier 1,2024-08-15,VIP,2024-10-01,\N,\N
UIDJS0045d928078,18-24,Tier 2,2024-04-22,VIP,2024-05-22,\N,\N
UIDJS00461ce8fc9,25-34,Tier 1,2024-08-10,Free,2024-10-08,\N,\N
UIDJS0048244a0a2,18-24,Tier 2,2024-01-18,Premium,\N,\N,\N
UIDJS004c0eb4154,25-34,Tier 2,2024-02-26,VIP,\N,2024-09-26,Free
UIDJS004d1ca89e3,18-24,Tier 1,2024-03-31,VIP,\N,2024-08-31,Free
UIDJS004da81efab,35-44,Tier 3,2024-02-23,VIP,\N,\N,\N
UIDJS004e82d55ce,25-34,Tier 2,2024-04-11,VIP,2024-08-19,\N,\N
UIDJS005262ef45f,25-34,Tier 2,2024-03-24,VIP,\N,\N,\N
UIDJS0052a73a7f9,45+,Tier 1,2024-09-01,Premium,\N,\N,\N
UIDJS0053c077296,35-44,Tier 1,2024-03-20,Free,\N,\N,\N
